[DBG] sensorHeight=65.0
Returned to Origin, Ready to Scan
[DBG] numPts=1500
110.00 260.00 23.00
110.00 250.00 21.00
110.00 240.00 23.00
110.00 230.00 24.00
110.00 220.00 23.00
110.00 210.00 24.00
110.00 200.00 23.00
110.00 190.00 23.00
110.00 180.00 23.00
110.00 170.00 23.00
110.00 160.00 21.00
110.00 150.00 20.00
110.00 140.00 21.00
110.00 130.00 23.00
110.00 120.00 21.00
110.00 110.00 23.00
110.00 100.00 21.00
110.00 90.00 20.00
110.00 80.00 19.00
110.00 70.00 20.00
110.00 60.00 18.00
110.00 50.00 16.00
110.00 40.00 17.00
110.00 30.00 15.00
110.00 20.00 15.00
110.00 10.00 13.00
110.00 0.00 13.00
120.00 0.00 13.00
120.00 10.00 12.00
120.00 20.00 13.00
120.00 30.00 14.00
120.00 40.00 15.00
120.00 50.00 16.00
120.00 60.00 17.00
120.00 70.00 19.00
120.00 80.00 20.00
120.00 90.00 20.00
120.00 100.00 20.00
120.00 110.00 18.00
120.00 120.00 20.00
120.00 130.00 20.00
120.00 140.00 20.00
120.00 150.00 20.00
120.00 160.00 20.00
120.00 170.00 21.00
120.00 180.00 21.00
120.00 190.00 23.00
120.00 200.00 23.00
120.00 210.00 24.00
120.00 220.00 24.00
120.00 230.00 24.00
120.00 240.00 23.00
120.00 250.00 23.00
120.00 260.00 24.00
120.00 270.00 23.00
120.00 280.00 24.00
120.00 290.00 24.00
120.00 300.00 24.00
120.00 310.00 24.00
120.00 320.00 24.00
120.00 330.00 24.00
120.00 340.00 23.00
120.00 350.00 24.00
120.00 360.00 24.00
120.00 370.00 25.00
120.00 380.00 25.00
120.00 390.00 27.00
120.00 400.00 26.00
120.00 410.00 27.00
120.00 420.00 28.00
120.00 430.00 28.00
120.00 440.00 28.00
120.00 450.00 29.00
120.00 460.00 30.00
120.00 470.00 30.00
120.00 480.00 28.00
120.00 490.00 28.00
120.00 500.00 29.00
130.00 500.00 27.00
130.00 490.00 26.00
130.00 480.00 26.00
130.00 470.00 28.00
130.00 460.00 28.00
130.00 450.00 30.00
130.00 440.00 30.00
130.00 430.00 30.00
130.00 420.00 28.00
130.00 410.00 27.00
130.00 400.00 27.00
130.00 390.00 28.00
130.00 380.00 27.00
130.00 370.00 27.00
130.00 360.00 26.00
130.00 350.00 25.00
130.00 340.00 24.00
130.00 330.00 24.00
130.00 320.00 23.00
130.00 310.00 24.00
130.00 300.00 25.00
130.00 290.00 25.00
130.00 280.00 25.00
130.00 270.00 24.00
130.00 260.00 24.00
130.00 250.00 24.00
130.00 240.00 24.00
130.00 230.00 24.00
130.00 220.00 24.00
130.00 210.00 24.00
130.00 200.00 25.00
130.00 190.00 25.00
130.00 180.00 23.00
130.00 170.00 23.00
130.00 160.00 23.00
130.00 150.00 23.00
130.00 140.00 24.00
130.00 130.00 23.00
130.00 120.00 24.00
130.00 110.00 23.00
130.00 100.00 21.00
130.00 90.00 23.00
130.00 80.00 21.00
130.00 70.00 19.00
130.00 60.00 19.00
130.00 50.00 17.00
130.00 40.00 17.00
130.00 30.00 16.00
130.00 20.00 15.00
130.00 10.00 14.00
130.00 0.00 15.00
140.00 0.00 14.00
140.00 10.00 13.00
140.00 20.00 14.00
140.00 30.00 15.00
140.00 40.00 14.00
140.00 50.00 17.00
140.00 60.00 17.00
140.00 70.00 18.00
140.00 80.00 19.00
140.00 90.00 20.00
140.00 100.00 21.00
140.00 110.00 23.00
140.00 120.00 21.00
140.00 130.00 20.00
140.00 140.00 20.00
140.00 150.00 20.00
140.00 160.00 21.00
140.00 170.00 21.00
140.00 180.00 21.00
140.00 190.00 21.00
140.00 200.00 23.00
140.00 210.00 24.00
140.00 220.00 24.00
140.00 230.00 23.00
140.00 240.00 24.00
140.00 250.00 24.00
140.00 260.00 24.00
140.00 270.00 24.00
140.00 280.00 23.00
140.00 290.00 24.00
140.00 300.00 25.00
140.00 310.00 25.00
140.00 320.00 24.00
140.00 330.00 24.00
140.00 340.00 25.00
140.00 350.00 25.00
140.00 360.00 24.00
140.00 370.00 25.00
140.00 380.00 26.00
140.00 390.00 26.00
140.00 400.00 27.00
140.00 410.00 27.00
140.00 420.00 27.00
140.00 430.00 28.00
140.00 440.00 29.00
140.00 450.00 29.00
140.00 460.00 27.00
140.00 470.00 30.00
140.00 480.00 28.00
140.00 490.00 29.00
140.00 500.00 28.00
150.00 500.00 25.00
150.00 490.00 25.00
150.00 480.00 27.00
150.00 470.00 27.00
150.00 460.00 29.00
150.00 450.00 28.00
150.00 440.00 29.00
150.00 430.00 28.00
150.00 420.00 28.00
150.00 410.00 28.00
150.00 400.00 28.00
150.00 390.00 28.00
150.00 380.00 27.00
150.00 370.00 26.00
150.00 360.00 26.00
150.00 350.00 25.00
150.00 340.00 24.00
150.00 330.00 25.00
150.00 320.00 24.00
150.00 310.00 24.00
150.00 300.00 24.00
150.00 290.00 25.00
150.00 280.00 23.00
150.00 270.00 24.00
150.00 260.00 24.00
150.00 250.00 24.00
150.00 240.00 24.00
150.00 230.00 24.00
150.00 220.00 24.00
150.00 210.00 24.00
150.00 200.00 24.00
150.00 190.00 25.00
150.00 180.00 23.00
150.00 170.00 23.00
150.00 160.00 23.00
150.00 150.00 23.00
150.00 140.00 23.00
150.00 130.00 23.00
150.00 120.00 21.00
150.00 110.00 21.00
150.00 100.00 21.00
150.00 90.00 23.00
150.00 80.00 20.00
150.00 70.00 19.00
150.00 60.00 17.00
150.00 50.00 17.00
150.00 40.00 16.00
150.00 30.00 16.00
150.00 20.00 15.00
150.00 10.00 14.00
150.00 0.00 14.00
160.00 0.00 12.00
160.00 10.00 14.00
160.00 20.00 14.00
160.00 30.00 14.00
160.00 40.00 16.00
160.00 50.00 16.00
160.00 60.00 15.00
160.00 70.00 18.00
160.00 80.00 19.00
160.00 90.00 19.00
160.00 100.00 21.00
160.00 110.00 21.00
160.00 120.00 21.00
160.00 130.00 20.00
160.00 140.00 20.00
160.00 150.00 21.00
160.00 160.00 20.00
160.00 170.00 23.00
160.00 180.00 21.00
160.00 190.00 23.00
160.00 200.00 23.00
160.00 210.00 23.00
160.00 220.00 23.00
160.00 230.00 23.00
160.00 240.00 23.00
160.00 250.00 21.00
160.00 260.00 24.00
160.00 270.00 21.00
160.00 280.00 23.00
160.00 290.00 24.00
160.00 300.00 23.00
160.00 310.00 23.00
160.00 320.00 23.00
160.00 330.00 24.00
160.00 340.00 25.00
160.00 350.00 23.00
160.00 360.00 25.00
160.00 370.00 25.00
160.00 380.00 25.00
160.00 390.00 24.00
160.00 400.00 26.00
160.00 410.00 26.00
160.00 420.00 26.00
160.00 430.00 26.00
160.00 440.00 28.00
160.00 450.00 27.00
160.00 460.00 26.00
160.00 470.00 26.00
160.00 480.00 26.00
160.00 490.00 24.00
160.00 500.00 24.00
170.00 500.00 23.00
170.00 490.00 23.00
170.00 480.00 24.00
170.00 470.00 24.00
170.00 460.00 26.00
170.00 450.00 26.00
170.00 440.00 27.00
170.00 430.00 26.00
170.00 420.00 27.00
170.00 410.00 27.00
170.00 400.00 26.00
170.00 390.00 25.00
170.00 380.00 25.00
170.00 370.00 26.00
170.00 360.00 25.00
170.00 350.00 25.00
170.00 340.00 25.00
170.00 330.00 25.00
170.00 320.00 24.00
170.00 310.00 25.00
170.00 300.00 24.00
170.00 290.00 24.00
170.00 280.00 24.00
170.00 270.00 24.00
170.00 260.00 24.00
170.00 250.00 23.00
170.00 240.00 23.00
170.00 230.00 23.00
170.00 220.00 23.00
170.00 210.00 24.00
170.00 200.00 24.00
170.00 190.00 23.00
170.00 180.00 23.00
170.00 170.00 23.00
170.00 160.00 23.00
170.00 150.00 23.00
170.00 140.00 21.00
170.00 130.00 23.00
170.00 120.00 23.00
170.00 110.00 24.00
170.00 100.00 23.00
170.00 90.00 21.00
170.00 80.00 20.00
170.00 70.00 18.00
170.00 60.00 16.00
170.00 50.00 16.00
170.00 40.00 16.00
170.00 30.00 16.00
170.00 20.00 15.00
170.00 10.00 14.00
170.00 0.00 14.00
180.00 0.00 14.00
180.00 10.00 15.00
180.00 20.00 14.00
180.00 30.00 15.00
180.00 40.00 15.00
180.00 50.00 15.00
180.00 60.00 15.00
180.00 70.00 15.00
180.00 80.00 15.00
180.00 90.00 18.00
180.00 100.00 19.00
180.00 110.00 18.00
180.00 120.00 18.00
180.00 130.00 18.00
180.00 140.00 17.00
180.00 150.00 18.00
180.00 160.00 19.00
180.00 170.00 19.00
180.00 180.00 20.00
180.00 190.00 20.00
180.00 200.00 20.00
180.00 210.00 21.00
180.00 220.00 19.00
180.00 230.00 20.00
180.00 240.00 21.00
180.00 250.00 21.00
180.00 260.00 21.00
180.00 270.00 20.00
180.00 280.00 21.00
180.00 290.00 21.00
180.00 300.00 21.00
180.00 310.00 20.00
180.00 320.00 23.00
180.00 330.00 23.00
180.00 340.00 23.00
180.00 350.00 21.00
180.00 360.00 23.00
180.00 370.00 23.00
180.00 380.00 24.00
180.00 390.00 24.00
180.00 400.00 23.00
180.00 410.00 23.00
180.00 420.00 21.00
180.00 430.00 21.00
180.00 440.00 23.00
180.00 450.00 23.00
180.00 460.00 23.00
180.00 470.00 23.00
180.00 480.00 21.00
180.00 490.00 20.00
180.00 500.00 20.00
190.00 500.00 18.00
190.00 490.00 17.00
190.00 480.00 18.00
190.00 470.00 19.00
190.00 460.00 19.00
190.00 450.00 20.00
190.00 440.00 20.00
190.00 430.00 20.00
190.00 420.00 21.00
190.00 410.00 21.00
190.00 400.00 21.00
190.00 390.00 19.00
190.00 380.00 20.00
190.00 370.00 19.00
190.00 360.00 20.00
190.00 350.00 20.00
190.00 340.00 20.00
190.00 330.00 19.00
190.00 320.00 19.00
190.00 310.00 19.00
190.00 300.00 20.00
190.00 290.00 20.00
190.00 280.00 19.00
190.00 270.00 19.00
190.00 260.00 19.00
190.00 250.00 20.00
190.00 240.00 19.00
190.00 230.00 19.00
190.00 220.00 18.00
190.00 210.00 19.00
190.00 200.00 19.00
190.00 190.00 18.00
190.00 180.00 17.00
190.00 170.00 18.00
190.00 160.00 18.00
190.00 150.00 18.00
